employee_id,attendance_date,attendance_percent,work_mode
EMP015796,2025-02-25,82.15,Hybrid
EMP000861,2025-04-27,71.86,Hybrid
EMP038159,2025-05-12,95.81,Hybrid
EMP044733,2025-03-11,77.06,Office
EMP011285,2025-03-16,76.15,Hybrid
EMP006266,2025-09-14,76.6,WFH
EMP016851,2025-01-04,77.77,Office
EMP037195,2025-06-23,83.35,Hybrid
EMP021963,2025-07-20,83.28,WFH
EMP047192,2025-07-31,90.8,Office
EMP044132,2025-05-17,90.54,Office
EMP016024,2025-03-20,89.01,Hybrid
EMP041091,2025-12-27,79.42,Hybrid
EMP001686,2025-08-21,93.27,Hybrid
EMP000770,2025-08-09,93.72,Hybrid
EMP002434,2025-01-22,97.17,Office
EMP005312,2025-07-31,86.49,Hybrid
EMP037820,2025-05-01,73.02,Hybrid
EMP039189,2025-11-26,78.96,Office
EMP017569,2025-11-08,79.55,Office
EMP019770,2025-09-29,87.03,Hybrid
EMP028694,2025-02-19,74.84,WFH
EMP006397,2025-06-28,93.58,WFH
EMP027481,2025-05-17,83.45,Office
EMP041435,2025-04-12,77.17,WFH
EMP025659,2025-02-17,79.21,Hybrid
EMP018943,2025-03-20,89.52,Office
EMP018432,2025-11-02,82.39,WFH
EMP002748,2025-07-17,71.72,WFH
EMP000190,2025-03-12,87.33,WFH
EMP019119,2025-05-07,77.88,Hybrid
EMP035774,2025-05-10,89.81,WFH
EMP001900,2025-07-31,79.79,WFH
EMP001268,2025-07-22,82.83,Hybrid
EMP031552,2025-01-29,70.07,Hybrid
EMP036261,2025-11-25,73.68,Hybrid
EMP011395,2025-12-10,82.77,Office
EMP003557,2025-10-06,80.85,Office
EMP003891,2025-06-10,73.07,Office
EMP041607,2025-06-16,70.62,Hybrid
EMP030741,2025-03-15,86.37,Office
EMP014503,2025-08-08,83.13,Office
EMP021778,2025-05-28,75.15,Office
EMP010628,2025-10-05,78.26,Hybrid
EMP008793,2025-04-25,71.03,Hybrid
EMP043324,2025-05-09,75.74,Office
EMP043022,2025-07-25,86.92,WFH
EMP008434,2025-08-25,80.64,WFH
EMP043002,2025-03-24,91.96,WFH
EMP011017,2025-03-29,97.81,WFH
EMP023898,2025-04-23,74.12,WFH
EMP002613,2025-11-29,86.92,Office
EMP023484,2025-08-20,91.37,Office
EMP048556,2025-08-23,88.16,WFH
EMP017160,2025-11-23,84.59,Hybrid
EMP044975,2025-10-20,91.96,WFH
EMP040995,2025-08-23,75.63,Office
EMP014542,2025-11-17,99.77,Office
EMP035921,2025-02-08,97.88,Office
EMP026532,2025-02-20,72.08,WFH
EMP001586,2025-01-09,99.99,WFH
EMP003944,2025-09-04,98.26,Office
EMP023940,2025-10-22,97.82,WFH
EMP019458,2025-06-24,74.68,WFH
EMP001022,2025-03-25,95.41,WFH
EMP011654,2025-08-27,86.02,WFH
EMP043574,2025-03-18,74.01,WFH
EMP013418,2025-04-11,76.89,Hybrid
EMP040758,2025-10-27,74.63,Office
EMP009693,2025-05-12,83.22,WFH
EMP045759,2025-09-20,75.3,Hybrid
EMP006874,2025-06-21,90.21,WFH
EMP005676,2025-07-18,83.62,Hybrid
EMP000162,2025-12-24,87.83,WFH
EMP037066,2025-05-29,71.62,Hybrid
EMP026558,2025-04-24,85.53,WFH
EMP033764,2025-10-18,79.76,Office
EMP032607,2025-03-14,71.46,WFH
EMP011535,2025-07-09,75.52,Hybrid
EMP029128,2025-11-24,78.29,Office
EMP040398,2025-08-18,80.35,WFH
EMP025852,2025-02-06,73.6,Office
EMP001017,2025-07-17,86.83,Hybrid
EMP024254,2025-08-01,96.92,Hybrid
EMP024277,2025-06-01,95.0,Hybrid
EMP023248,2025-02-12,85.34,Office
EMP024301,2025-02-20,98.71,Office
EMP008530,2025-12-11,88.24,Hybrid
EMP017263,2025-07-23,70.01,Office
EMP009269,2025-10-07,77.21,WFH
EMP021272,2025-01-05,90.45,WFH
EMP012186,2025-12-22,98.92,Office
EMP021244,2025-01-26,75.95,Office
EMP039100,2025-12-30,76.73,Office
EMP008572,2025-09-01,96.04,Hybrid
EMP039977,2025-02-05,97.12,Hybrid
EMP038045,2025-03-02,96.59,Hybrid
EMP049217,2025-08-17,80.46,Hybrid
EMP048985,2025-11-24,96.56,Office
EMP040775,2025-11-08,84.28,Hybrid
EMP002569,2025-01-23,79.67,Hybrid
EMP002028,2025-09-13,96.32,Hybrid
EMP002696,2025-07-09,81.6,WFH
EMP048191,2025-08-17,84.04,Office
EMP005259,2025-08-01,88.13,Office
EMP022003,2025-01-04,85.86,Hybrid
EMP039505,2025-01-25,80.54,Hybrid
EMP033160,2025-08-24,98.28,Hybrid
EMP013987,2025-05-13,97.65,Hybrid
EMP012667,2025-08-22,86.46,Hybrid
EMP038661,2025-05-04,75.72,WFH
EMP003562,2025-01-23,80.62,WFH
EMP026855,2025-03-21,82.01,Office
EMP038953,2025-11-29,76.66,WFH
EMP022663,2025-05-30,71.59,WFH
EMP008393,2025-04-16,93.49,Office
EMP030536,2025-09-11,84.55,Office
EMP013068,2025-11-24,75.57,Hybrid
EMP048034,2025-10-05,99.2,WFH
EMP023600,2025-09-16,78.62,WFH
EMP035223,2025-07-07,88.29,Hybrid
EMP011838,2025-10-21,80.4,WFH
EMP014040,2025-04-28,99.34,Hybrid
EMP030819,2025-09-16,86.14,Hybrid
EMP019116,2025-05-18,93.39,Office
EMP010966,2025-07-09,92.6,Office
EMP024539,2025-09-30,75.74,WFH
EMP042531,2025-08-07,84.34,Hybrid
EMP005057,2025-02-26,76.2,Hybrid
EMP032483,2025-06-19,88.17,Hybrid
EMP047717,2025-08-04,89.73,WFH
EMP008111,2025-05-27,92.12,WFH
EMP013774,2025-01-31,87.7,Office
EMP027267,2025-09-16,97.42,Office
EMP017413,2025-10-07,79.83,WFH
EMP033271,2025-07-07,82.99,WFH
EMP006911,2025-06-27,71.03,WFH
EMP045454,2025-10-11,99.02,Office
EMP025447,2025-12-08,80.52,Hybrid
EMP000207,2025-02-04,94.1,Hybrid
EMP021519,2025-07-10,80.98,WFH
EMP022362,2025-12-12,73.57,WFH
EMP023420,2025-02-20,92.46,Hybrid
EMP015385,2025-01-14,95.53,Hybrid
EMP048703,2025-01-23,91.39,Hybrid
EMP029283,2025-09-12,88.75,WFH
EMP041524,2025-10-19,92.65,Office
EMP045152,2025-10-19,89.89,Hybrid
EMP022404,2025-05-18,87.15,WFH
EMP018142,2025-05-28,79.15,Hybrid
EMP014821,2025-08-19,91.74,WFH
