employee_id,salary_month,gross_salary,bonus,tax_deduction
EMP000001,2025-01,-27023,13564,2604.03
EMP000002,2025-03,166198,20819,16914.43
EMP000003,2025-02,80729,12059,8183.65
EMP000004,2025-03,163599,25582,18642.73
EMP000005,2025-02,136465,4311,10901.97
EMP000006,2025-01,76925,17697,8807.18
EMP000007,2025-02,71563,49128,4665.22
EMP000008,2025-01,134844,29802,7101.15
EMP000009,2025-04,124892,6934,15630.08
EMP000010,2025-04,39522,32737,4992.42
EMP000011,2025-01,117748,1064,14307.76
EMP000012,2025-01,50292,795,7983.66
EMP000013,2025-02,79415,24315,10469.49
EMP000014,2025-04,73746,21379,11698.72
EMP000015,2025-01,129621,24732,12508.41
EMP000016,2025-02,34854,4918,5851.84
EMP000017,2025-04,106436,49000,25175.95
EMP000018,2025-01,46004,41438,5854.11
EMP000019,2025-02,109042,22613,17412.47
EMP000020,2025-01,66790,29581,4790.58
EMP000021,2025-02,76814,3080,17767.87
EMP000022,2025-03,69999,30401,14713.22
EMP000023,2025-02,129831,16321,7353.1
EMP000024,2025-02,68872,37924,16911.29
EMP000025,2025-01,100367,40170,15050.35
EMP000026,2025-04,40286,21129,8446.93
EMP000027,2025-02,128458,4815,26287.79
EMP000028,2025-04,126979,171,15398.97
EMP000029,2025-04,125310,49433,6450.35
EMP000030,2025-04,44594,17421,4619.34
EMP000031,2025-03,43912,18606,7593.3
EMP000032,2025-01,108646,30757,21942.86
EMP000033,2025-03,34474,21509,3758.97
EMP000034,2025-04,140102,12848,24618.26
EMP000035,2025-01,97218,45915,8100.62
EMP000036,2025-01,165234,41606,16448.8
EMP000037,2025-03,33672,46211,7588.2
EMP000038,2025-02,67233,14279,7138.75
EMP000039,2025-02,54133,32744,8897.1
EMP000040,2025-02,50419,20446,12070.25
EMP000041,2025-04,68639,37324,6406.84
EMP000042,2025-01,103810,15020,22515.04
EMP000043,2025-04,101048,10282,21557.19
EMP000044,2025-04,108185,28966,23234.99
EMP000045,2025-01,84411,5613,11879.22
EMP000046,2025-01,84724,21554,12256.81
EMP000047,2025-02,173683,16500,24320.38
EMP000048,2025-04,72119,42852,17012.85
EMP000049,2025-01,64019,49118,9684.52
EMP000050,2025-04,86162,40909,16459.84
EMP000051,2025-04,85980,44456,19437.65
