employee_id,review_year,performance_rating,promotion_status,training_hours
EMP000001,2023,2,Promoted,3
EMP000002,2023,1,Not Promoted,107
EMP000003,2024,4,Promoted,28
EMP000004,2023,4,Promoted,4
EMP000005,2025,2,Promoted,22
EMP000006,2022,4,Promoted,66
EMP000007,2024,2,Promoted,19
EMP000008,2023,3,Not Promoted,99
EMP000009,2022,2,Promoted,73
EMP000010,2025,4,Promoted,96
EMP000011,2022,5,Promoted,11
EMP000012,2023,5,Not Promoted,23
EMP000013,2023,4,Promoted,106
EMP000014,2025,4,Promoted,32
EMP000015,2022,4,Promoted,116
EMP000016,2023,4,Not Promoted,20
EMP000017,2024,2,Not Promoted,63
EMP000018,2024,5,Not Promoted,57
EMP000019,2022,1,Promoted,29
EMP000020,2022,2,Not Promoted,38
EMP000021,2025,2,Promoted,34
EMP000022,2025,2,Promoted,34
EMP000023,2022,5,Not Promoted,63
EMP000024,2022,4,Promoted,25
EMP000025,2023,4,Promoted,87
EMP000026,2022,4,Not Promoted,24
EMP000027,2023,4,Not Promoted,9
EMP000028,2024,3,Not Promoted,55
EMP000029,2025,4,Promoted,1
EMP000030,2024,5,Promoted,80
EMP000031,2025,1,Promoted,95
EMP000032,2023,4,Promoted,118
EMP000033,2022,2,Not Promoted,59
EMP000034,2025,2,Promoted,29
EMP000035,2024,1,Promoted,28
EMP000036,2024,2,Promoted,31
EMP000037,2024,2,Not Promoted,112
EMP000038,2025,2,Promoted,31
EMP000039,2023,1,Promoted,27
EMP000040,2024,4,Not Promoted,90
EMP000041,2022,4,Promoted,31
EMP000042,2025,5,Promoted,8
EMP000043,2024,2,Not Promoted,70
EMP000044,2022,1,Not Promoted,91
EMP000045,2022,3,Promoted,39
EMP000046,2022,3,Not Promoted,47
EMP000047,2025,4,Not Promoted,19
EMP000048,2024,3,Promoted,103
EMP000049,2022,1,Promoted,12
EMP000050,2025,4,Promoted,31
EMP000051,2025,3,Not Promoted,30
EMP000052,2025,5,Promoted,70
EMP000053,2023,3,Promoted,115
EMP000054,2023,3,Promoted,52
EMP000055,2023,4,Promoted,18
EMP000056,2025,5,Not Promoted,61
EMP000057,2024,4,Not Promoted,87
EMP000058,2024,2,Promoted,68
EMP000059,2022,1,Promoted,105
EMP000060,2023,2,Not Promoted,50
EMP000061,2025,5,Not Promoted,99
EMP000062,2022,1,Promoted,70
EMP000063,2022,3,Promoted,113
EMP000064,2025,4,Promoted,30
EMP000065,2025,5,Not Promoted,5
EMP000066,2022,4,Not Promoted,118
EMP000067,2022,4,Not Promoted,17
EMP000068,2025,2,Promoted,66
EMP000069,2022,2,Not Promoted,7
EMP000070,2023,5,Promoted,0
EMP000071,2023,3,Not Promoted,11
EMP000072,2025,1,Promoted,0
EMP000073,2024,5,Promoted,74
EMP000074,2024,4,Not Promoted,52
EMP000075,2023,4,Not Promoted,104
EMP000076,2023,2,Not Promoted,48
EMP000077,2023,2,Promoted,2
EMP000078,2024,5,Not Promoted,106
EMP000079,2023,1,Not Promoted,0
EMP000080,2022,2,Not Promoted,109
EMP000081,2023,5,Not Promoted,16
EMP000082,2024,3,Promoted,72
EMP000083,2025,1,Promoted,88
EMP000084,2025,3,Promoted,37
EMP000085,2025,5,Not Promoted,117
EMP000086,2025,2,Not Promoted,15
EMP000087,2025,2,Promoted,112
EMP000088,2025,2,Not Promoted,20
EMP000089,2022,5,Promoted,32
EMP000090,2023,3,Not Promoted,70
EMP000091,2023,4,Not Promoted,40
EMP000092,2023,5,Not Promoted,0
EMP000093,2022,5,Promoted,53
EMP000094,2022,5,Promoted,52
EMP000095,2025,2,Promoted,87
EMP000096,2024,1,Promoted,11
EMP000097,2024,4,Not Promoted,24
EMP000098,2023,4,Promoted,13
EMP000099,2025,3,Not Promoted,5
EMP000100,2022,3,Promoted,29
EMP000101,2024,1,Not Promoted,108
EMP000102,2024,5,Not Promoted,58
EMP000103,2022,4,Promoted,20
EMP000104,2023,4,Promoted,106
EMP000105,2023,1,Not Promoted,36
EMP000106,2025,3,Not Promoted,75
EMP000107,2024,3,Not Promoted,27
EMP000108,2022,1,Not Promoted,71
EMP000109,2023,1,Promoted,73
EMP000110,2024,1,Promoted,99
EMP000111,2022,4,Not Promoted,78
EMP000112,2022,2,Promoted,107
EMP000113,2025,4,Promoted,14
EMP000114,2022,4,Not Promoted,22
EMP000115,2024,5,Promoted,56
EMP000116,2025,4,Not Promoted,41
EMP000117,2025,4,Promoted,93
EMP000118,2025,3,Promoted,42
EMP000119,2022,1,Promoted,3
EMP000120,2024,5,Promoted,58
EMP000121,2025,4,Promoted,16
EMP000122,2023,4,Promoted,112
EMP000123,2025,4,Not Promoted,81
EMP000124,2023,3,Promoted,29
EMP000125,2022,2,Not Promoted,119
EMP000126,2024,1,Promoted,8
EMP000127,2025,2,Promoted,54
EMP000128,2024,3,Not Promoted,25
EMP000129,2025,5,Not Promoted,71
EMP000130,2022,2,Not Promoted,69
EMP000131,2023,5,Not Promoted,1
EMP000132,2024,5,Promoted,25
EMP000133,2023,5,Promoted,71
EMP000134,2023,2,Promoted,89
EMP000135,2022,2,Not Promoted,58
EMP000136,2022,5,Promoted,111
EMP000137,2023,1,Not Promoted,107
EMP000138,2022,5,Promoted,119
EMP000139,2025,5,Not Promoted,6
EMP000140,2022,3,Promoted,81
EMP000141,2022,3,Promoted,68
EMP000142,2023,3,Promoted,45
EMP000143,2023,1,Promoted,1
EMP000144,2022,5,Not Promoted,101
EMP000145,2023,5,Promoted,52
EMP000146,2024,1,Promoted,26
EMP000147,2024,3,Promoted,34
EMP000148,2024,3,Not Promoted,119
EMP000149,2023,5,Not Promoted,31
EMP000150,2025,1,Not Promoted,1
EMP000151,2023,3,Promoted,96
EMP000152,2024,2,Not Promoted,112
EMP000153,2024,2,Not Promoted,22
EMP000154,2024,2,Not Promoted,21
EMP000155,2024,3,Promoted,81
EMP000156,2022,4,Promoted,77
EMP000157,2022,5,Not Promoted,10
EMP000158,2023,4,Promoted,79
EMP000159,2022,2,Promoted,66
EMP000160,2025,2,Promoted,91
EMP000161,2023,4,Promoted,64
EMP000162,2025,1,Not Promoted,91
EMP000163,2022,5,Promoted,94
EMP000164,2022,1,Not Promoted,62
EMP000165,2025,3,Promoted,11
EMP000166,2022,4,Not Promoted,119
EMP000167,2024,1,Promoted,36
EMP000168,2023,3,Promoted,9
EMP000169,2023,1,Promoted,56
EMP000170,2022,4,Not Promoted,76
EMP000171,2023,1,Promoted,13
EMP000172,2024,5,Not Promoted,89
EMP000173,2023,1,Not Promoted,108
EMP000174,2023,2,Not Promoted,68
EMP000175,2022,5,Not Promoted,3
EMP000176,2024,4,Not Promoted,91
EMP000177,2024,1,Promoted,1
EMP000178,2024,2,Not Promoted,35
EMP000179,2023,4,Promoted,98
EMP000180,2022,2,Promoted,28
EMP000181,2025,3,Promoted,52
EMP000182,2024,1,Promoted,87
EMP000183,2025,1,Not Promoted,40
EMP000184,2023,4,Promoted,120
EMP000185,2023,5,Promoted,71
EMP000186,2025,2,Not Promoted,72
EMP000187,2024,4,Promoted,87
EMP000188,2025,3,Promoted,115
EMP000189,2025,1,Promoted,67
EMP000190,2024,1,Promoted,109
EMP000191,2022,4,Promoted,37
EMP000192,2024,5,Promoted,23
EMP000193,2025,4,Promoted,25
EMP000194,2023,5,Promoted,45
EMP000195,2024,3,Not Promoted,14
EMP000196,2025,2,Promoted,45
EMP000197,2024,2,Not Promoted,4
EMP000198,2024,4,Not Promoted,51
EMP000199,2022,1,Not Promoted,94
EMP000200,2024,1,Promoted,77
EMP000201,2023,2,Not Promoted,88
EMP000202,2023,1,Promoted,100
EMP000203,2024,3,Promoted,94
EMP000204,2023,1,Promoted,49
EMP000205,2023,1,Not Promoted,114
EMP000206,2023,5,Promoted,93
EMP000207,2022,3,Promoted,5
EMP000208,2023,5,Not Promoted,82
EMP000209,2022,1,Promoted,46
EMP000210,2024,4,Promoted,62
EMP000211,2024,5,Not Promoted,43
EMP000212,2022,1,Not Promoted,118
EMP000213,2024,1,Not Promoted,74
EMP000214,2025,2,Promoted,83
EMP000215,2023,3,Promoted,55
EMP000216,2022,2,Promoted,92
EMP000217,2022,2,Promoted,62
EMP000218,2022,1,Promoted,30
EMP000219,2025,1,Not Promoted,24
EMP000220,2025,4,Not Promoted,93
EMP000221,2022,5,Not Promoted,50
EMP000222,2025,1,Not Promoted,109
EMP000223,2025,2,Not Promoted,73
EMP000224,2022,4,Promoted,57
EMP000225,2023,3,Not Promoted,69
EMP000226,2023,2,Promoted,99
EMP000227,2024,3,Not Promoted,40
EMP000228,2024,3,Promoted,73
EMP000229,2023,4,Promoted,50
EMP000230,2024,3,Not Promoted,89
EMP000231,2024,4,Not Promoted,105
EMP000232,2022,4,Not Promoted,69
EMP000233,2023,5,Not Promoted,92
EMP000234,2023,5,Promoted,96
EMP000235,2024,2,Promoted,54
EMP000236,2022,5,Promoted,99
EMP000237,2022,3,Not Promoted,78
EMP000238,2022,2,Not Promoted,103
EMP000239,2024,2,Not Promoted,118
EMP000240,2022,1,Promoted,36
EMP000241,2024,1,Promoted,107
EMP000242,2022,1,Not Promoted,104
EMP000243,2022,3,Promoted,16
EMP000244,2025,1,Not Promoted,108
EMP000245,2023,1,Not Promoted,59
EMP000246,2022,5,Promoted,46
EMP000247,2023,1,Not Promoted,98
EMP000248,2025,2,Not Promoted,20
EMP000249,2025,3,Promoted,39
EMP000250,2025,2,Promoted,53
EMP000251,2025,2,Promoted,43
EMP000252,2023,5,Promoted,100
EMP000253,2025,5,Not Promoted,108
EMP000254,2025,1,Not Promoted,14
EMP000255,2022,4,Not Promoted,22
EMP000256,2024,4,Promoted,82
EMP000257,2024,3,Not Promoted,28
EMP000258,2022,3,Promoted,82
EMP000259,2022,5,Not Promoted,4
EMP000260,2023,5,Not Promoted,71
EMP000261,2024,4,Not Promoted,25
EMP000262,2022,1,Not Promoted,61
EMP000263,2022,5,Promoted,47
EMP000264,2023,3,Not Promoted,28
EMP000265,2023,1,Not Promoted,91
EMP000266,2023,3,Promoted,28
EMP000267,2022,3,Promoted,6
EMP000268,2023,5,Promoted,109
EMP000269,2025,5,Not Promoted,77
EMP000270,2022,3,Promoted,103
EMP000271,2023,2,Promoted,33
EMP000272,2022,4,Not Promoted,117
EMP000273,2022,3,Not Promoted,10
EMP000274,2025,1,Promoted,68
EMP000275,2025,4,Not Promoted,66
EMP000276,2025,5,Not Promoted,69
EMP000277,2022,5,Not Promoted,34
EMP000278,2025,1,Promoted,58
EMP000279,2025,1,Not Promoted,104
EMP000280,2024,4,Promoted,71
EMP000281,2025,2,Promoted,46
EMP000282,2023,3,Promoted,43
EMP000283,2023,4,Not Promoted,117
EMP000284,2024,3,Promoted,45
EMP000285,2025,3,Promoted,63
EMP000286,2024,4,Promoted,74
EMP000287,2023,1,Promoted,119
EMP000288,2025,1,Not Promoted,44
EMP000289,2022,5,Not Promoted,31
EMP000290,2025,3,Promoted,35
EMP000291,2022,4,Not Promoted,114
EMP000292,2025,2,Not Promoted,18
EMP000293,2023,4,Promoted,17
EMP000294,2022,5,Promoted,96
EMP000295,2023,4,Not Promoted,9
EMP000296,2022,4,Promoted,75
EMP000297,2022,2,Not Promoted,49
EMP000298,2022,2,Not Promoted,87
EMP000299,2025,3,Not Promoted,41
EMP000300,2022,5,Not Promoted,80
EMP000301,2022,2,Not Promoted,43
EMP000302,2023,1,Promoted,14
EMP000303,2024,3,Promoted,55
EMP000304,2022,5,Not Promoted,7
EMP000305,2022,1,Not Promoted,109
EMP000306,2023,2,Promoted,114
EMP000307,2022,3,Promoted,85
EMP000308,2025,2,Not Promoted,49
EMP000309,2024,4,Promoted,39
EMP000310,2022,5,Promoted,120
EMP000311,2023,5,Not Promoted,32
EMP000312,2023,5,Promoted,94
EMP000313,2025,4,Not Promoted,111
EMP000314,2022,2,Not Promoted,72
EMP000315,2023,1,Not Promoted,88
EMP000316,2025,2,Promoted,22
EMP000317,2022,3,Promoted,79
EMP000318,2024,3,Not Promoted,120
EMP000319,2024,2,Not Promoted,25
EMP000320,2024,2,Promoted,43
EMP000321,2022,2,Promoted,74
EMP000322,2023,5,Not Promoted,53
EMP000323,2023,5,Not Promoted,71
EMP000324,2025,4,Promoted,4
